ensembl,WT1,WT2,WT3,WT4,WT5,MT16W1,MT16W2,MT16W3,MT16W4,MT16W5,MT20W1,MT20W2,MT20W3,MT20W4
ENSMUSG00000054414,7.08568,7.10185,6.39638,6.88275,6.77072,6.53563,6.76233,6.46093,6.83623,6.86159,6.87745,6.73742,7.12394,7.11387
ENSMUSG00000037469,5.17687,5.08313,5.30444,4.74776,4.82604,5.33132,4.86831,4.87438,5.25018,5.15474,4.91133,4.49481,4.62167,4.70675
ENSMUSG00000048148,7.77187,7.58375,7.36235,7.33854,7.56666,7.23735,7.04889,7.29544,7.03148,7.88362,7.57909,6.93809,7.53527,7.65979
ENSMUSG00000062232,9.94657,9.73211,9.38929,9.92194,9.50219,9.58326,9.36206,9.65744,9.50053,9.89963,9.25036,9.06803,9.61802,9.29065
ENSMUSG00000019802,8.2535,8.11775,7.53169,7.98455,8.02958,7.94078,7.94323,7.94135,7.75198,7.83982,7.97691,7.12928,7.61947,8.03647
ENSMUSG00000021747,3.30393,3.05547,3.25239,3.38465,3.91473,3.31217,3.16133,3.37469,3.21602,3.47057,3.20138,3.82508,3.01305,3.17012
ENSMUSG00000019826,3.47596,3.77688,3.45913,3.1494,3.34183,3.05463,3.61313,3.45643,3.76204,3.17055,3.51322,3.19722,3.93025,3.3691
ENSMUSG00000008976,6.079,6.04636,5.67689,5.58646,5.9836,5.97328,6.13088,5.86045,5.81402,5.97883,6.2286,6.48801,6.44136,6.42444
ENSMUSG00000021403,3.77748,3.97991,3.81892,4.03387,3.77791,3.28948,3.88986,3.39204,3.46792,4.02423,4.1966,3.98654,3.57031,3.80731
ENSMUSG00000035148,3.34064,3.2685,3.86113,3.19589,3.20828,3.45208,3.47984,3.18025,3.3239,3.09556,3.03723,3.63659,2.76067,3.1411
ENSMUSG00000098234,8.56032,8.57731,8.51253,8.36787,8.85248,8.44457,8.44193,8.75636,8.32702,8.19692,8.87416,8.37049,9.19096,8.94503
ENSMUSG00000063439,6.38547,6.62241,6.5518,6.50442,6.52556,6.47474,6.42206,6.41778,6.57686,6.38676,7.06763,7.10144,6.69127,7.13068
ENSMUSG00000025821,5.88003,5.98532,5.64292,6.1108,5.86754,6.3566,6.02301,6.13757,5.92188,5.83038,6.28585,6.74938,6.23781,6.18771
ENSMUSG00000039377,5.97486,6.19806,6.1526,5.97179,6.07799,6.40566,6.14419,6.03628,6.39588,6.33906,5.8761,5.85075,5.6102,5.74932
ENSMUSG00000020111,7.90391,7.99701,8.15824,7.87691,7.84827,7.85783,7.64688,7.79072,7.97643,7.83473,7.37989,7.43944,7.44856,7.2828
ENSMUSG00000057564,4.35005,4.34579,4.5372,4.49101,4.15223,4.38524,4.39303,4.17362,4.70555,4.41722,3.89524,4.64993,3.98271,4.14957
ENSMUSG00000020331,3.48928,3.50505,3.90584,3.9528,3.62528,4.06385,3.45234,3.18502,3.56076,3.63582,3.41634,3.32185,3.50755,3.5672
ENSMUSG00000021991,3.62366,3.49673,3.39115,3.1306,3.4334,3.01877,3.06948,3.37687,3.50815,3.12403,2.90762,3.49923,2.85369,2.92837
ENSMUSG00000073424,3.5867,3.49811,3.83014,3.35337,3.64033,3.45202,3.28202,2.90935,3.40566,3.53975,3.00148,3.20138,2.92888,3.2271
ENSMUSG00000098905,5.11157,5.07175,5.14866,5.45718,5.25667,5.13661,4.88156,5.34991,5.18335,5.07712,4.70149,4.97529,4.87027,4.81102
ENSMUSG00000028197,2.98455,2.80685,3.09485,2.98169,3.14216,2.74086,2.11502,2.55714,3.06517,2.62839,2.71861,2.7849,2.677,2.52843
ENSMUSG00000060279,6.95536,7.04334,7.35469,6.9602,6.76759,6.81131,6.58772,6.36969,6.75488,7.22033,6.55988,6.77248,6.41803,6.44727
ENSMUSG00000025008,3.39815,4.00088,3.38012,3.46281,3.70937,4.09761,3.70656,4.0347,4.19403,3.41459,3.70537,3.85507,3.62551,3.76655
ENSMUSG00000025314,6.30474,6.2685,5.89296,6.15817,6.2409,6.2124,6.32839,6.52593,6.10841,6.21468,6.99292,6.0677,6.19239,6.82994
ENSMUSG00000032083,3.99828,3.52917,3.95241,3.795,3.64436,4.05263,3.66913,3.34019,4.22566,3.64878,3.62755,4.05377,3.19968,3.8615
ENSMUSG00000019774,6.88692,7.0027,6.85715,6.89909,7.18687,7.07647,6.92567,7.45682,7.08539,6.85478,7.47293,6.66227,7.59578,7.45435
ENSMUSG00000015804,10.0532,9.96943,9.93513,10.1661,10.0463,10.1474,10.2432,10.1724,10.2934,10.1753,10.3893,10.7482,10.7485,10.6087
ENSMUSG00000028830,5.3088,5.76102,6.22369,5.75318,5.72208,5.49667,5.39496,5.57369,5.93526,5.60892,5.55567,5.78869,5.76388,5.96026
ENSMUSG00000026209,8.965,9.2106,8.98592,9.28894,9.1263,9.01058,9.01483,8.85242,8.91671,8.97955,8.64569,8.21284,9.00059,8.51323
ENSMUSG00000038181,6.35231,6.46079,6.0011,6.31761,5.86547,5.72156,5.85412,5.58764,6.01519,5.88027,5.94032,5.75914,5.90214,5.93856
ENSMUSG00000044043,3.39059,3.5455,3.77368,3.27999,3.44022,3.58381,3.44889,3.05336,3.64898,3.17555,2.95453,3.64281,3.16101,3.22596
ENSMUSG00000038213,6.57582,6.89242,6.48966,6.98189,6.8302,7.07048,6.84668,6.75308,6.61954,6.82272,6.45482,6.81548,6.32449,7.44172
ENSMUSG00000022537,4.72628,4.66766,4.61534,4.46255,4.44958,4.81006,4.67262,5.16942,4.50906,4.58371,4.2617,5.13785,4.32275,4.25883
